Threshold,Precision,Recall,F1_Score,ROC_AUC,True_Negatives,False_Positives,False_Negatives,True_Positives,Total_Cost,Cost_per_Observation
0.9,1.0,0.105,0.19004524886877827,0.9855205508474576,11800,0,179,21,89500,7.458333333333333
0.91,1.0,0.09,0.1651376146788991,0.9855205508474576,11800,0,182,18,91000,7.583333333333333
0.92,1.0,0.07,0.1308411214953271,0.9855205508474576,11800,0,186,14,93000,7.75
0.93,1.0,0.06,0.11320754716981132,0.9855205508474576,11800,0,188,12,94000,7.833333333333333
0.94,1.0,0.035,0.06763285024154589,0.9855205508474576,11800,0,193,7,96500,8.041666666666666
0.95,1.0,0.03,0.05825242718446602,0.9855205508474576,11800,0,194,6,97000,8.083333333333334
0.96,1.0,0.015,0.029556650246305417,0.9855205508474576,11800,0,197,3,98500,8.208333333333334
0.97,1.0,0.015,0.029556650246305417,0.9855205508474576,11800,0,197,3,98500,8.208333333333334
0.98,1.0,0.01,0.019801980198019802,0.9855205508474576,11800,0,198,2,99000,8.25
0.99,1.0,0.01,0.019801980198019802,0.9855205508474576,11800,0,198,2,99000,8.25
